measurement_uid,dns_experiment_failure,http_experiment_failure,accessible,blocking,resolver_asn,status_code
20241209214526.287129_UY_webconnectivity_501a2c07b695c3ba,None,connection_refused,False,dns,AS6057,200
20241209214524.671992_UY_webconnectivity_c09923fc65d47486,None,connection_refused,False,dns,AS6057,-1
20241209214509.003030_UY_webconnectivity_84d66697d692f154,None,connection_refused,False,dns,AS6057,-1
20241209214508.409058_UY_webconnectivity_20e7edb54272d9d4,None,connection_refused,False,dns,AS6057,200
20241209214507.559767_UY_webconnectivity_9886f1a7cd87a406,None,connection_refused,False,dns,AS6057,200
20241209214505.196038_UY_webconnectivity_abcb3bdf654efa92,None,connection_refused,False,dns,AS6057,200
20241209214504.226639_UY_webconnectivity_2752062420ca176d,None,connection_refused,False,dns,AS6057,200
20241209214503.314296_UY_webconnectivity_075fbcf56d317243,None,connection_refused,False,dns,AS6057,403
20241209214502.692923_UY_webconnectivity_43b58cca9f4f9fbd,None,connection_refused,False,dns,AS6057,200
20241209214500.796009_UY_webconnectivity_9052273df0e4f19b,None,connection_refused,False,dns,AS6057,200
20241209214500.147197_UY_webconnectivity_cc32eef6b197a155,None,connection_refused,False,dns,AS6057,200
20241209214459.447753_UY_webconnectivity_e94f83a2eb32cc03,None,connection_refused,False,dns,AS6057,403
20241209214458.592099_UY_webconnectivity_f49316dc3727a96d,None,connection_refused,False,dns,AS6057,200
20241209214457.894690_UY_webconnectivity_c1283d1a9b377175,None,connection_refused,False,dns,AS6057,503
20241209214457.295017_UY_webconnectivity_6e26fc8bffca6f1f,None,connection_refused,False,dns,AS6057,200
20241209214456.267225_UY_webconnectivity_ed866c615239a738,None,connection_refused,False,dns,AS6057,200
20241209214454.672133_UY_webconnectivity_0a933afb4ef7b09c,None,connection_refused,False,dns,AS6057,403
20241209214454.086166_UY_webconnectivity_32de08ce17e943e6,None,connection_refused,False,dns,AS6057,403
20241209214452.495349_UY_webconnectivity_8423583063329f9c,None,connection_refused,False,dns,AS6057,200
20241209214453.349312_UY_webconnectivity_b104158964ae6705,None,connection_refused,False,dns,AS6057,200
20241209214451.757264_UY_webconnectivity_811ca4e62e7879a2,None,connection_refused,False,dns,AS6057,200
20241209214450.809556_UY_webconnectivity_a66c50005a70bf7b,None,connection_refused,False,dns,AS6057,200
20241209214449.205757_UY_webconnectivity_dbc251e55e08d76c,None,connection_refused,False,dns,AS6057,403
20241209214448.288792_UY_webconnectivity_992cc41127765693,None,connection_refused,False,dns,AS6057,-1
20241209214447.571404_UY_webconnectivity_5527d051e3253a05,None,connection_refused,False,dns,AS6057,403
20241209214446.940660_UY_webconnectivity_45ef938e5490de01,None,connection_refused,False,dns,AS6057,200
20241209214445.417340_UY_webconnectivity_e527002cc91fb942,None,connection_refused,False,dns,AS6057,200
20241209214444.470820_UY_webconnectivity_c90360a8a885a68a,None,connection_refused,False,dns,AS6057,-1
