Denunciante;URL o dominio denunciado;Plazo de bloqueo (días);Enlace a Resolución de URSEC
Directv del Uruguay Ltda;https://pelotalibre.org/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://librefutbol.cl/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://futbollibrego.pe/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://viperplay.online/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://rusticotv.net/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://rusticotvhd.com/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://tvhd.pe/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://viperplayhd.com/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://la12hd.com/;10;Resolución 583/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://la10tv.com/;30;Resolución 583/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://pricesaskeloadsc.com/;30;Resolución 584/024 de 7 de noviembre de 2024
